neighbourhood_id,neighbourhood
0,SE Historic Anacostia
1,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington"
2,"SE Capitol Hill, Lincoln Park"
3,"NE Eastland Gardens, Kenilworth"
4,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights"
5,"NW-far Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
6,"NW-far Cathedral Heights, McLean Gardens, Glover Park"
7,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
8,"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
9,"NW-mid Shaw, Logan Circle"
10,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw"
11,"NW-mid Dupont Circle, Connecticut Avenue/K Street"
12,"NW-mid Brightwood Park, Crestwood, Petworth"
13,"NW-mid Takoma, Brightwood, Manor Park"
14,"SE Congress Heights, Bellevue, Washington Highlands"
15,"NW-mid Colonial Village, Shepherd Park, North Portal Estates"
16,"SE Capitol View, Marshall Heights, Benning Heights"
17,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
18,"NE Union Station, Stanton Park, Kingman Park"
19,"NW-far Georgetown, Burleith/Hillandale"
20,"SE Douglas, Shipley Terrace"
21,"NW-far Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
22,"NE/SE River Terrace, Benning, Greenway, Dupont Park"
23,"NW-far Friendship Heights, American University Park, Tenleytown"
24,"NW-mid West End, Foggy Bottom, GWU"
25,"SW Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
26,"NW-far Hawthorne, Barnaby Woods, Chevy Chase"
27,"NE North Michigan Park, Michigan Park, University Heights"
28,"NE Ivy City, Arboretum, Trinidad, Carver Langston"
29,"NW-far North Cleveland Park, Forest Hills, Van Ness"
30,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont"
31,"NE Brookland, Brentwood, Langdon"
32,"SE Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
33,"SE Near Southeast, Navy Yard"
34,"SE Sheridan, Barry Farm, Buena Vista"
35,"NE Mayfair, Hillbrook, Mahaning Heights"
36,"NE Woodridge, Fort Lincoln, Gateway"
37,"SE Woodland/Fort Stanton, Garfield Heights, Knox Hill"
38,"NE Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
